,datetime,symbol,收盤價
983080,2015-12-24,2610,11.85
984666,2015-12-25,2610,12.05
986252,2015-12-28,2610,12.0
987839,2015-12-29,2610,11.9
989427,2015-12-30,2610,11.9
991015,2015-12-31,2610,12.0
992603,2016-01-04,2610,11.45
994191,2016-01-05,2610,11.35
995779,2016-01-06,2610,11.55
997369,2016-01-07,2610,11.6
998961,2016-01-08,2610,11.45
1000554,2016-01-11,2610,11.05
1002148,2016-01-12,2610,11.25
1003742,2016-01-13,2610,11.3
1005336,2016-01-14,2610,11.3
1006930,2016-01-15,2610,11.15
1008524,2016-01-18,2610,11.45
1010118,2016-01-19,2610,11.4
1011712,2016-01-20,2610,11.2
1013306,2016-01-21,2610,11.2
1014900,2016-01-22,2610,11.2
1016494,2016-01-25,2610,11.15
1018088,2016-01-26,2610,11.05
1019683,2016-01-27,2610,11.1
1021280,2016-01-28,2610,11.15
1022877,2016-01-29,2610,11.25
1024474,2016-01-30,2610,11.35
1026071,2016-02-01,2610,11.35
1027668,2016-02-02,2610,11.25
1029265,2016-02-03,2610,11.1
1030862,2016-02-15,2610,11.35
1032458,2016-02-16,2610,11.55
1034054,2016-02-17,2610,11.35
1035650,2016-02-18,2610,11.35
1037246,2016-02-19,2610,11.35
1038842,2016-02-22,2610,11.5
1040438,2016-02-23,2610,11.45
1042034,2016-02-24,2610,11.4
1043630,2016-02-25,2610,11.4
1045226,2016-02-26,2610,11.5
1046822,2016-03-01,2610,11.55
1048418,2016-03-02,2610,11.65
1050014,2016-03-03,2610,11.6
1051610,2016-03-04,2610,11.65
1053207,2016-03-07,2610,11.65
1054804,2016-03-08,2610,11.75
1056401,2016-03-09,2610,11.7
1057999,2016-03-10,2610,11.7
1059597,2016-03-11,2610,11.6
1061195,2016-03-14,2610,11.55
1062793,2016-03-15,2610,11.4
1064392,2016-03-16,2610,11.55
1065991,2016-03-17,2610,11.55
1067590,2016-03-18,2610,11.6
1069189,2016-03-21,2610,11.5
1070789,2016-03-22,2610,11.55
1072389,2016-03-23,2610,11.55
1073989,2016-03-24,2610,11.5
